provider,term,canonical,match,had_audio,transcript
rime,nginx,"nginx",false,true,"NGX."
rime,postgresql,"PostgreSQL",true,true,"PostgreSQL."
rime,etcd,"etcd",true,true,"Let's see, D."
rime,redis,"Redis",false,true,"Read this."
rime,kafka,"Kafka",true,true,"kafka"
rime,grpc,"gRPC",false,true,""
rime,graphql,"GraphQL",false,true,""
rime,oauth,"OAuth",false,true,""
rime,s3,"S3",false,true,""
rime,iam,"IAM",false,true,""
rime,k8s,"k8s",false,true,""
rime,rabbitmq,"RabbitMQ",false,true,""
rime,memcached,"Memcached",false,true,""
rime,prometheus,"Prometheus",false,true,""
rime,ci-cd,"CI/CD",false,true,""
cartesia,nginx,"nginx",false,false,""
cartesia,postgresql,"PostgreSQL",false,false,""
cartesia,etcd,"etcd",false,false,""
cartesia,redis,"Redis",false,false,""
cartesia,kafka,"Kafka",false,false,""
cartesia,grpc,"gRPC",false,false,""
cartesia,graphql,"GraphQL",false,false,""
cartesia,oauth,"OAuth",false,false,""
cartesia,s3,"S3",false,false,""
cartesia,iam,"IAM",false,false,""
cartesia,k8s,"k8s",false,false,""
cartesia,rabbitmq,"RabbitMQ",false,false,""
cartesia,memcached,"Memcached",false,false,""
cartesia,prometheus,"Prometheus",false,false,""
cartesia,ci-cd,"CI/CD",false,false,""
fishaudio,nginx,"nginx",false,false,""
fishaudio,postgresql,"PostgreSQL",false,false,""
fishaudio,etcd,"etcd",false,false,""
fishaudio,redis,"Redis",false,false,""
fishaudio,kafka,"Kafka",false,false,""
fishaudio,grpc,"gRPC",false,false,""
fishaudio,graphql,"GraphQL",false,false,""
fishaudio,oauth,"OAuth",false,false,""
fishaudio,s3,"S3",false,false,""
fishaudio,iam,"IAM",false,false,""
fishaudio,k8s,"k8s",false,false,""
fishaudio,rabbitmq,"RabbitMQ",false,false,""
fishaudio,memcached,"Memcached",false,false,""
fishaudio,prometheus,"Prometheus",false,false,""
fishaudio,ci-cd,"CI/CD",false,false,""
